                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
a_subj(HC.neutral).62             1.98721    0.214484     1.59934    1.83904    1.96927     2.11768    2.45126    0.0128141
v(DDA.hoarding)                   1.68932     0.98778   0.0318418     1.0633    1.60489     2.20613    3.63819    0.0567757
v(DDA.neutral)                    5.20539     0.74358     3.76151    4.70092    5.21384     5.69939    6.68232    0.0182633
v(HC.hoarding)                    2.55255    0.372254     1.85189    2.29758    2.54431       2.807    3.28991    0.0109526
v(HC.neutral)                     6.54493    0.370305     5.82378    6.29638    6.54052      6.7904    7.27261   0.00929244
v_std                              2.2275    0.198414     1.86428    2.09103    2.21567     2.34987    2.64174    0.0069472
v_subj(DDA.hoarding).1            8.46087    0.799901      6.8896    7.93562      8.449     8.98905    10.0435    0.0221788
v_subj(DDA.hoarding).2            1.19681     2.26223      -1.078  -0.359725 -0.0859712     2.49776    6.86904     0.155953
v_subj(DDA.hoarding).3            1.21279     1.56853   -0.932835   0.198846   0.780874     1.91233    5.26975    0.0627025
v_subj(DDA.hoarding).4            1.72147    0.542226     1.19956    1.46737    1.64072     1.83064    2.79785     0.036813
v_subj(DDA.hoarding).5          -0.968847     1.35589    -3.09259   -1.56366  -0.961971   -0.569783    2.67028    0.0852232
v_subj(DDA.hoarding).6            1.46462     1.00014    0.488211   0.865942    1.20837     1.76437    4.09765    0.0679012
v_subj(DDA.hoarding).7           0.609197    0.594228    0.287801   0.453337   0.543223     0.63958   0.943204    0.0482894
v_subj(DDA.hoarding).8            0.12095     1.48234    -2.38842  -0.611644 -0.0480971    0.597349    3.57954      0.07231
v_subj(DDA.hoarding).9            1.03746     1.43279   0.0600835   0.344667   0.514602    0.942255     5.7081     0.093888
v_subj(DDA.neutral).1             10.6947     1.36478     6.50167    10.0999    10.8068     11.4843    13.0544      0.10088
v_subj(DDA.neutral).2             4.33614    0.318682     3.71338    4.13752    4.33409     4.53827    4.97628    0.0146277
v_subj(DDA.neutral).3              4.6471    0.472864     3.74568    4.33255    4.62549     4.93913    5.66293      0.02433
