ii                                    mean         std        2.5q        25q         50q        75q      97.5q       mc_err
v_subj(HC.neutral).25             -0.35261    0.901784    -2.29052   -0.69979   -0.277423 -0.0485944    1.77854    0.0199971
v_subj(HC.neutral).26              4.25505     0.41241     3.47222    3.97485     4.23523    4.52426    5.10808    0.0104511
v_subj(HC.neutral).27             0.947495     1.91829    -2.12845  -0.180461    0.335752    1.94503     5.6585    0.0646494
v_subj(HC.neutral).28              4.83096     1.16507     3.07608    4.02367     4.65164    5.43562    7.68586    0.0478501
v_subj(HC.neutral).29             -1.73044    0.285074    -2.37696   -1.90091    -1.69632    -1.5322   -1.25424   0.00735255
v_subj(HC.neutral).30              1.13226    0.608283    0.541799     0.8587     1.03879    1.23527    2.65647    0.0278637
v_subj(HC.neutral).32              3.14806    0.568378     2.22114    2.75234     3.09552    3.47039    4.43277    0.0164396
v_subj(HC.neutral).35              2.69281    0.296182     2.13013    2.49646     2.68691    2.88891    3.29308    0.0058714
v_subj(HC.neutral).36             -1.41094    0.800121    -3.74305   -1.54876    -1.20283   -0.95815  -0.616516    0.0346844
v_subj(HC.neutral).37              1.69942    0.267694     1.19036    1.51718     1.69401    1.87317    2.25114   0.00478758
v_subj(HC.neutral).38             -1.37526     1.20988    -4.34738   -1.97458    -1.03712  -0.527328  0.0745646    0.0379195
v_subj(HC.neutral).40              5.49624    0.613366     4.34213    5.08766     5.46617     5.8998    6.75842     0.021801
v_subj(HC.neutral).43              2.52887    0.251627     2.03834    2.35549     2.52645    2.69909    3.02295   0.00515622
v_subj(HC.neutral).44              3.28893      0.3975     2.57812    3.02341     3.26124    3.53015    4.15914   0.00927525
v_subj(HC.neutral).45            -0.202592      1.2211    -1.70662  -0.670948   -0.461545  -0.209607    3.61185    0.0520952
v_subj(HC.neutral).47              0.85844     1.60902    -1.36804  -0.130882    0.338194    1.49056     5.2856     0.047787
v_subj(HC.neutral).48              1.60018     1.23536     0.30356   0.661293     1.17755    2.28689    4.74923     0.056317
v_subj(HC.neutral).50              2.98615    0.338908       2.334    2.74759      2.9894    3.21269     3.6477   0.00585017
v_subj(HC.neutral).52              3.88739    0.623784     2.67763    3.47621     3.88272    4.29272    5.11095    0.0163392
v_subj(HC.neutral).53              3.13157    0.676117     1.95442      2.599     3.16977    3.59438     4.3805    0.0503575
v_subj(HC.neutral).56              3.30586    0.399855     2.62249    3.03926     3.27063    3.52077     4.2138    0.0141827
v_subj(HC.neutral).57              4.25249    0.676877     3.05394    3.75154     4.22019    4.69557    5.67116    0.0299967
v_subj(HC.neutral).58             0.136769    0.758703    -1.07463  -0.180784   0.0655955   0.346977    1.76086    0.0149904
v_subj(HC.neutral).59              1.50404    0.543413    0.760733    1.14665     1.40311    1.74007    2.86788    0.0197863
v_subj(HC.neutral).60              2.23245    0.295735     1.72476    2.03241     2.20652    2.40499    2.86919   0.00778457
v_subj(HC.neutral).61              2.09364     1.97344   -0.298257   0.462463     1.75451    3.15663    6.99589    0.0770783
v_subj(HC.neutral).62              3.74855    0.630638     2.65225    3.31556     3.69861     4.1225    5.13673    0.0187903
v_subj(HC.neutral).63              3.40273    0.817897     2.30042    2.83048      3.2194     3.8013    5.52075    0.0445315
v_subj(HC.neutral).64            -0.143098      1.3404    -3.48566    -0.5442  0.00261661   0.290637    2.73028    0.0424444
v_subj(HC.neutral).65             -1.69378      0.2408    -2.17473   -1.85358    -1.69026   -1.52887   -1.23689   0.00431943
v_subj(HC.neutral).66              3.45177    0.461097     2.64107    3.13568      3.4103    3.72952    4.51211     0.014977
v_subj(HC.neutral).67              3.18127    0.937561     1.82391    2.46352     3.01095    3.79598    5.31233    0.0427852
t(DDA.hoarding)                   0.306376   0.0225331    0.261348   0.291175    0.306356   0.321406   0.350727  0.000358369
t(DDA.neutral)                    0.297035    0.023002    0.251149   0.281564    0.297176   0.312739   0.340663  0.000376691
t(HC.hoarding)                    0.242719   0.0121783     0.21892   0.234333    0.242672   0.250727   0.267394  0.000226242
t(HC.neutral)                     0.234188   0.0124717    0.209994   0.225782    0.234054   0.242368   0.259722  0.000243616
t_std                            0.0850162  0.00673406    0.073292  0.0804311   0.0845064  0.0892215    0.09969  0.000142873
t_subj(DDA.hoarding).1            0.452378   0.0372009     0.38848   0.434413    0.447544   0.459955   0.554176   0.00218641
t_subj(DDA.hoarding).2            0.246527   0.0047832    0.235159   0.243812    0.247058   0.249808   0.254494  0.000140118
t_subj(DDA.hoarding).3            0.389778   0.0160303     0.35546   0.380285    0.390672   0.400062   0.418855  0.000309586
t_subj(DDA.hoarding).4             0.31152   0.0109417    0.287662   0.304544    0.312251   0.319294   0.330114  0.000241424
t_subj(DDA.hoarding).5            0.198255  0.00915108     0.17904   0.192792    0.199019   0.204458   0.213667  0.000223983
t_subj(DDA.hoarding).6            0.306621    0.014645    0.277155   0.297361     0.30725   0.315601   0.332276  0.000303185
t_subj(DDA.hoarding).7            0.294488    0.013968    0.267367    0.28551    0.294174   0.303164   0.322528  0.000271507
t_subj(DDA.hoarding).8            0.305726   0.0104616    0.283238   0.299517    0.306032   0.312132   0.327292  0.000232854
