response,stim,rt,trial,feedback,subj_code,q_init
0,hoarding,0.689,120,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.626,121,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.998,122,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.682,123,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.925,124,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.864626324727273,125,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.779,126,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.604,127,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.5,128,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.591,129,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,1.085,130,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,2.293,131,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.542,132,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.414,133,0,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.81,134,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.992,135,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.579,136,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.524,137,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.412,138,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.419,139,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.497,140,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.557,141,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.399,142,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.491,143,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.137,144,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.826,145,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.644,146,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.221,147,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.823,148,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,1.678,149,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.73,150,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.709,151,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.031,152,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.691,153,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.519,154,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.912,155,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.501,156,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,1.046,157,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.466,158,0,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.855124212050475,159,1,ma_za_1959_12_04_04_f,0.5
1,hoarding,0.651,160,1,ma_za_1959_12_04_04_f,0.5
0,hoarding,0.894868813644394,1,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.928740482127822,2,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.894309865839324,3,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.533,4,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.893750918034255,5,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.503,6,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.927343112615148,7,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,2.273,8,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.268,9,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.939,10,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.568,11,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.898,12,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.92566626919994,13,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.463,14,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,2.477,15,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.631,16,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.62,17,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.451,18,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.889838283398768,19,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.92,20,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.651,21,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.799,22,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.135,23,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.516,24,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.509,25,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.081,26,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.081,27,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.455,28,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.381,29,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.66,30,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.138,31,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.84,32,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.920076791149244,33,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.954,34,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.053,35,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.885087227065061,36,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.986,37,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.414,38,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.839,39,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.223,40,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.107,41,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.833,42,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.627,43,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.912590303224175,44,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.597,45,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,2.18,46,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.918,47,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.422,48,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.863,49,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.888,50,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.037,51,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,2.182,52,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,2.347,53,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.315,54,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.884189497914088,55,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,2.098,56,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.272,57,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.033,58,1,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.333,59,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,0.595,60,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,2.005,61,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.202,62,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,2.302,63,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.475,64,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.102,65,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.852,66,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.708,67,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.082,68,0,fa_fa_1974_05_14_03_f,0.5
1,hoarding,1.174,69,1,fa_fa_1974_05_14_03_f,0.5
1,hoarding,0.619,70,0,fa_fa_1974_05_14_03_f,0.5
0,hoarding,1.101,71,0,fa_fa_1974_05_14_03_f,0.5
